,open,high,low,close,volume,atr,ob_formed,ob_direction,entry_quality,qmp_fast,qmp_slow,qmp_macd,qmp_line,qmp_hist,qqe_rsi,qqe_rsi_ma,qqe_dar,qqe_momentum,signal_alignment
2026-05-05 18:00:00,81270.61,81599.0,81270.61,81562.07,168.28919,220.05142857142656,False,none,0.0,81407.7328778675,81472.58581242844,-64.85293456094223,-91.64652689822826,26.79359233728603,60.5820181402468,60.5820181402468,19.067683366918107,14.689501657028359,1.0
2026-05-05 18:15:00,81562.07,81575.26,81422.03,81459.38,98.15409,212.13928571428343,False,none,0.0,81426.73443941027,81482.73505411731,-56.00061470703804,-85.18535263805988,29.184737931021843,54.61214377595649,54.61214377595649,19.158544867949793,-5.9698743642903125,-1.0
2026-05-05 18:30:00,81459.38,81537.44,81426.08,81517.24,73.0845,189.38142857142623,False,none,0.0,81457.54539319153,81499.56262042606,-42.01722723453713,-74.84879210421093,32.8315648696738,57.32036638750867,57.32036638750867,19.188655877589422,2.7082226115521806,1.0
2026-05-05 18:45:00,81517.24,81560.0,81414.69,81515.0,88.03445,188.9649999999976,False,none,0.0,81480.38198392978,81513.76698045523,-33.384996525448514,-63.812527712488745,30.42753118704023,57.16943827169779,57.16943827169779,19.13161537251925,-0.15092811581087773,-1.0
2026-05-05 19:00:00,81515.0,81515.0,81407.58,81467.29,43.81436,187.91499999999772,False,none,0.0,81484.00103448369,81519.14533038171,-35.144295898018754,-56.16556502843022,21.02126913041147,53.72594975234701,53.72594975234701,19.0428105333716,-3.4434885193507796,-1.0
2026-05-05 19:15:00,81467.29,81580.0,81432.04,81538.09,67.21959,186.3971428571417,False,none,0.0,81506.3055373185,81533.57228152374,-27.266744205233408,-47.59473953601359,20.327995330780183,58.01485238510749,58.01485238510749,18.938002306224803,4.288902632760475,1.0
2026-05-05 19:30:00,81538.09,81666.66,81517.85,81654.17,146.69468,183.77785714285605,False,none,0.0,81555.99679586136,81562.5259651145,-6.529169253146392,-33.83076442488441,27.301595171738015,64.22746749740085,64.22746749740085,18.845368664046504,6.2126151122933635,1.0
2026-05-05 19:45:00,81654.16,81680.0,81526.0,81606.35,106.90854,179.25428571428452,False,none,0.0,81580.31617515271,81581.02987236246,-0.713697209750535,-21.836186611269696,21.12248940151916,60.04439531094236,60.04439531094236,18.736691570839312,-4.183072186458489,-1.0
2026-05-05 20:00:00,81606.35,81770.0,81510.13,81700.01,332.81182,171.56642857142702,False,none,0.0,81624.94611712694,81610.39456720541,14.551549921525293,-7.819268267236218,22.37081818876151,65.12816523997849,65.12816523997849,18.6265311617178,5.083769929036123,1.0
2026-05-05 20:15:00,81700.0,81700.0,81545.01,81554.07,113.81674,165.22785714285524,False,none,0.0,81617.22634499896,81615.24180452782,1.9845404711377341,-2.4777312016438557,4.46227167278159,53.09739279556688,53.09739279556688,18.608194921645357,-12.030772444411603,-1.0
2026-05-05 20:30:00,81554.07,81738.22,81545.01,81658.01,167.13824,165.67214285714206,False,none,0.0,81639.7257662565,81633.8900845119,5.8356817445892375,2.5057542456890616,3.329927498900176,59.22779766028662,59.22779766028662,18.591257662171206,6.130404864719736,1.0
2026-05-05 20:45:00,81658.01,81668.0,81569.51,81646.38,110.90581,162.17571428571475,False,none,0.0,81652.96438700876,81648.35117456954,4.613212439217023,5.3882930820041395,-0.7750806427871169,58.254136401783455,58.254136401783455,18.506857765533002,-0.9736612585031637,1.0
2026-05-05 21:00:00,81646.39,81791.48,81591.69,81591.7,282.10641,164.29642857142815,False,none,0.0,81646.75666844657,81652.93769938126,-6.18103093469108,3.316187096927388,-9.497218031618468,53.52602163859674,53.52602163859674,18.414124906790512,-4.728114763186717,1.0
